ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
551,"Adult","Medium","M","S",0,+0090321.60,"N",55,"600066190","2811531133166884",19461123,"3361 S HORTON ST",,"DES MOINES","IA","50310","0",,,+0000870.09,11,217,21,+0001.65,5,13,+00000000.0000,+00000021.75225
552,"Adult","High","M","D",1,+0090478.60,"N",55,"145347005","9850538727045263",19530711,"1846 W VAIL ST",,"GAINESVILLE","FL","32607","0",-082.408748,+029.643582,+0018021.80,136,9010,901,+0034.00,4,9,+00000000.0000,+00000901.09000
553,"Adult","High","F","M",2,+0056187.00,"N",43,"183464737","6650648066663640",19750830,"3254 W 500 N",,"SANDOVAL","IL","62882","0",,,+0008090.81,13,2022,202,+0001.95,5,18,+00000000.0000,+00000404.54050
554,"Young adult","Medium","M","M",1,+0028313.10,"N",21,"142919439","3435002441558460",19511227,"530 MAIN ST",,"HOUSTON","TX","77057","5270",,,+0006890.69,6,1722,172,+0000.90,1,12,+00000000.0000,+00000172.26725
555,"Young adult","Low","F","S",1,+0041000.00,"N",24,"217219814","2693673867788097",19420927,"300 AVENUE P",,"ANGELICA","NY","14709","0",,,+0023562.36,206,11781,1178,+0051.50,5,7,+00001178.1180,+00000000.00000
556,"Adult","High","M","M",2,+0029616.00,"N",49,"114145531","3288574858723873",19650714,"2550 WEBB AVE APT 4E",,"BOSTON","MA","02215","0",,,+0029782.98,45,14891,1489,+0011.25,4,8,+00000000.0000,+00001489.14900
557,"Adult","Low","M","M",0,+0019732.80,"N",51,"102522177","8508026254851502",19210730,"1500 KHRSES DR",,"GRASSY","MO","63751","0",,,+0024812.48,22,12406,1240,+0005.50,1,10,+00001240.6240,+00000000.00000
558,"Adult","High","M","S",2,+0000096.33,"N",56,"494868121","4307491984467027",19061123,"7317 HOLLY HILL DR APT 1202",,"BRADLEY","OK","73011","0",,,+0026132.61,32,13066,1306,+0008.00,4,6,+00000000.0000,+00001306.63050
559,"Young adult","High","F","M",2,+0052004.80,"N",25,"209535883","6323011079478489",19130217,"35 S LAUREL RD",,"JACKSONPORT","AR","72075","0",,,+0005030.50,23,1257,125,+0003.45,2,20,+00000000.0000,+00000251.52500
560,"Young adult","High","M","M",2,+0053010.80,"N",19,"194379307","8697996043586202",19620725,"2260 GRAND AVE",,"DALLAS","TX","75217","7105",-096.680631,+032.744667,+0012451.25,46,6225,622,+0011.50,5,10,+00000000.0000,+00000622.56250
561,"Senior","Low","M","M",0,+0075004.50,"N",65,"178306959","5654372005059367",19570615,"1941 N 23RD AVE",,"NEW LEIPZIG","ND","58562","0",,,+0026522.65,32,13261,1326,+0008.00,3,9,+00001326.1325,+00000000.00000
562,"Adult","Low","M","M",0,+0019749.30,"N",60,"168979417","4306475726946247",19701228,"2800 COLLEGE POINT BLVD",,"AUSTIN","TX","78705","0",,,+0020222.02,13,10111,1011,+0003.25,1,6,+00001011.1010,+00000000.00000
563,"Adult","High","M","S",1,+0057626.90,"Y",44,"394332712","1446969387806389",19710904,"4212 KINGS LN",,"CARTHAGE","ME","04224","0",,,+0009380.94,38,2345,234,+0005.70,5,18,+00000000.0000,+00000469.04700
564,"Adult","Medium","M","M",2,+0020078.00,"N",33,"121016906","8072518873128735",19820117,"775 RESERVOIR ST",,"MOUNT UNION","PA","17260","0",,,+0009650.97,6,2412,241,+0000.90,1,14,+00000000.0000,+00000241.27425
565,"Young adult","Low","F","M",2,+0047902.00,"N",26,"132452276","5228690635324544",19990331,"826 5TH ST NW",,"HARRISVILLE","NY","13648","0",,,+0017441.74,49,8720,872,+0012.25,2,6,+00000872.0870,+00000000.00000
566,"Child","Low","M","M",1,+0007545.96,"Y",17,"720090649","8959168371053861",19520414,"2149 FREEMONT DR W",,"GUAYANILLA","PR","0656","0",,,+0022392.24,178,11196,1119,+0044.50,3,5,+00001119.6120,+00000000.00000
567,"Adult","Medium","F","S",0,+0078851.30,"N",48,"829545430","8812253889094023",19830810,"UNIT 23809",,"DERRY","NH","03038","0",,,+0000370.04,28,92,9,+0004.20,3,10,+00000000.0000,+00000009.25100
568,"Adult","High","F","S",1,+0017540.70,"Y",63,"100881270","2792710135289955",19360224,"X836 HUNTINGTON AVE",,"NORTHFIELD","MA","01360","0",,,+0022172.22,13,11086,1108,+0003.25,3,9,+00000000.0000,+00001108.61100
569,"Adult","Low","F","M",0,+0083891.90,"Y",61,"636749251","2134962179104655",19911207,"50 E 191ST ST APT 5A",,"CENTRALIA","IL","62801","0",-089.129548,+038.533750,+0028922.89,45,14461,1446,+0011.25,3,8,+00001446.1445,+00000000.00000
570,"Adult","Low","F","M",2,+0028220.80,"N",39,"921977655","4776151269482087",19891122,"10327 96TH ST NE",,"GOLIAD","TX","77963","0",-097.381682,+028.671374,+0026492.65,12,13246,1324,+0003.00,4,8,+00001324.6325,+00000000.00000
571,"Child","High","F","S",0,+0028589.10,"N",16,"174250904","4949562622821835",19370805,"PO BOX 4960",,"BRONSON","FL","32621","0",-082.627467,+029.455119,+0013191.32,87,6595,659,+0021.75,4,10,+00000000.0000,+00000659.56600
572,"Adult","Low","F","M",2,+0005237.63,"N",49,"166070718","6785121470428411",19720816,"1701 WALNUT ST FL 3",,"AUSTIN","TX","78745","0",-097.779728,+030.200948,+0013321.33,56,6660,666,+0014.00,2,8,+00000666.0665,+00000000.00000
573,"Adult","High","M","S",2,+0089459.90,"N",53,"119522423","7707791255214809",19691209,"720 MONROE ST STE C206",,"BELLEVILLE","NJ","07109","0",,,+0011541.15,22,5770,577,+0005.50,1,10,+00000000.0000,+00000577.05750
574,"Adult","High","F","S",1,+0013576.50,"N",39,"176441136","1269054055639563",19360109,"76 BARRETT AVE",,"AUBURN","ME","04210","0",-070.228872,+044.108573,+0014831.48,25,7415,741,+0006.25,4,10,+00000000.0000,+00000741.57400
575,"Adult","Low","F","S",0,+0081710.90,"N",59,"112146828","1233304323572128",19610324,"RR 2 BOX 104",,"FORTUNA","ND","58844","0",,,+0020952.10,15,10476,1047,+0003.75,4,8,+00001047.6050,+00000000.00000
576,"Adult","High","F","M",2,+0067388.00,"N",53,"175647299","1615902827347308",19971227,"SE1 CALLE ROSA",,"IRVINGTON","NY","10533","0",,,+0004790.48,91,1197,119,+0013.65,4,20,+00000000.0000,+00000239.52400
577,"Adult","Low","F","M",1,+0057063.00,"Y",52,"102322894","6913706207478842",19840314,"1889 SAYBROOK RD",,"CAROLINA","PR","0979","0",,,+0016791.68,81,8395,839,+0020.25,2,7,+00000839.5840,+00000000.00000
578,"Adult","High","F","M",2,+0084166.10,"N",54,"108073263","4760046641584831",19330522,"5501 FRILFO RD",,"PITTSBURGH","PA","15220","1448",,,+0003280.33,11,820,82,+0001.65,1,16,+00000000.0000,+00000164.01650
579,"Child","Low","F","S",0,+0045612.90,"N",14,"173103957","3912434887865822",19940310,"4999 76TH ST SE",,"BORDENTOWN","NJ","08505","2068",,,+0012531.25,311,6265,626,+0077.75,2,9,+00000626.5625,+00000000.00000
580,"Adult","Medium","F","S",1,+0007737.94,"N",43,"178094945","3912674683448067",19610417,"6429 W BORTNER ST",,"CINCINNATI","OH","45244","0",,,+0011051.11,50,5525,552,+0012.50,5,5,+00000000.0000,+00000552.55550
581,"Adult","High","M","S",2,+0120000.00,"N",42,"122822476","5261544179846310",19220820,"T237 EUSTIS ST",,"VINEYARD HAVEN","MA","02568","0",,,+0021372.14,293,10686,1068,+0073.25,5,5,+00000000.0000,+00001068.60700
582,"Young adult","High","F","M",2,+0045287.60,"Y",29,"183622117","7957975261269470",19300310,"12 SEQUOIA CT",,"GUAYANILLA","PR","0656","1528",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
583,"Adult","Low","F","M",2,+0059613.10,"N",34,"108693586","8479140030050538",19141029,"PO BOX 3845",,"CHAGRIN FALLS","OH","44023","0",,,+0012371.24,163,6185,618,+0040.75,1,7,+00000618.5620,+00000000.00000
584,"Adult","High","F","S",1,+0016326.70,"N",51,"915388487","1866583918428638",19400417,"300 SCHUYLER AVE APT 7",,"PANAMA CITY","FL","32405","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
585,"Adult","Low","F","S",2,+0009559.78,"N",51,"161281650","7755025936553065",19710412,"601 4TH AVE APT 1 # 3559",,"SCHENECTADY","NY","12308","0",-073.923700,+042.817100,+0018311.83,59,9155,915,+0014.75,4,8,+00000915.5915,+00000000.00000
586,"Adult","High","F","M",2,+0042031.80,"N",51,"130415567","7811512229002462",19880830,"2276 GRAHAM CIR",,"CAROLINA","PR","0979","0",,,+0020452.05,39,10226,1022,+0009.75,3,7,+00000000.0000,+00001022.60250
587,"Young adult","High","F","M",2,+0083284.10,"Y",28,"205684379","2524371908557908",19361205,"8251 INGERSOL ST STE 101",,"WEST DES MOINES","IA","50266","0",,,+0026912.69,9,13456,1345,+0002.25,1,9,+00000000.0000,+00001345.63450
588,"Young adult","High","M","M",1,+0039229.10,"N",26,"490554631","7715433363338687",19341108,"9904 FOLIAGE",,"NEW PRESTON","CT","06777","0",,,+0028822.88,13,14411,1441,+0003.25,1,7,+00000000.0000,+00001441.14400
589,"Adult","High","F","D",1,+0068427.40,"N",42,"179902379","7242503078469277",19260828,"1084 WILMINGTON INDUSTRIAL PARK",,"SAN FRANCISCO","CA","94119","0",,,+0023762.38,50,11881,1188,+0012.50,3,5,+00000000.0000,+00001188.11900
590,"Adult","Medium","M","S",0,+0003601.71,"N",49,"200471898","5816221426903948",19500123,"18469 COUNTY ROAD 4665",,"REDWOOD CITY","CA","94061","0",,,+0009570.96,111,2392,239,+0016.65,3,11,+00000000.0000,+00000239.27400
591,"Adult","Low","F","S",0,+0098716.30,"N",56,"286864056","7443868179050542",19390602,"150 E 1ST AVE APT 106",,"HUALAPAI","AZ","86412","0",,,+0020972.10,13,10486,1048,+0003.25,5,7,+00001048.6050,+00000000.00000
592,"Adult","Low","F","S",2,+0066182.70,"Y",62,"143460974","6140111687375673",19260210,"22314 SE 30TH ST",,"ALBANY","NY","12203","0",,,+0011701.17,47,5850,585,+0011.75,1,7,+00000585.0585,+00000000.00000
593,"Adult","Low","F","M",2,+0084789.30,"N",50,"154702951","4131130765247587",19520225,"671 WESTCHESTER AVE APT 17A",,"RUTHERFORD","NJ","07070","0",,,+0014221.42,10,7110,711,+0002.50,3,10,+00000711.0710,+00000000.00000
594,"Adult","Low","F","M",2,+0035976.50,"Y",49,"681196768","2969233459079314",19420312,"66 CANAL",,"CAROLINA","PR","0979","0",,,+0018851.89,31,9425,942,+0007.75,1,8,+00000942.5945,+00000000.00000
595,"Senior","High","F","M",0,+0032703.10,"Y",65,"497295166","5285979774259488",19080228,"114 COLES ST # 781 # 2609",,"CARMEL","CA","93922","0",,,+0016801.68,56,8400,840,+0014.00,4,6,+00000000.0000,+00000840.08400
596,"Adult","Low","F","M",2,+0008204.72,"N",53,"724068634","7961319141596484",19510526,"3094 JONES BLVD",,"LELAND","IL","60531","0",,,+0015591.56,24,7795,779,+0006.00,2,7,+00000779.5780,+00000000.00000
597,"Adult","High","M","M",1,+0097180.40,"N",51,"140128741","3487564727820530",19250730,"1 E GRANDVIEW DR",,"SARCOXIE","MO","64862","0",,,+0008210.82,45,2052,205,+0006.75,3,19,+00000000.0000,+00000410.54100
598,"Adult","High","F","M",0,+0080405.10,"N",60,"132684059","6174577953631549",19331007,"1059 N MARTIN LUTHER KING JR BLVD",,"IRONDALE","OH","43932","0",,,+0002910.29,17,727,72,+0002.55,2,16,+00000000.0000,+00000145.51450
599,"Adult","High","F","S",2,+0038280.00,"N",34,"173288134","8223235727863312",19760826,"31601 ELMTREE BLVD",,"NORWALK","IA","50211","0",,,+0011641.16,74,5820,582,+0018.50,5,10,+00000000.0000,+00000582.05800
600,"Adult","High","M","S",0,+0064136.60,"Y",61,"203803666","7318354915082776",19590707,"5098 SADDLE MTN RD",,"MESA","AZ","85213","8514",,,+0016211.62,125,8105,810,+0031.25,1,9,+00000000.0000,+00000810.58100
601,"Adult","Low","F","M",2,+0045429.70,"Y",62,"101334603","5460525020968654",19541004,"132 GLEN AVE",,"COVEL","WV","24719","0",,,+0024702.47,73,12351,1235,+0018.25,4,9,+00001235.1235,+00000000.00000
602,"Adult","High","F","S",0,+0025285.50,"N",54,"132790673","1012734108931984",19560331,"2512 CHRISTOPHER LN",,"ARLINGTON","VA","02771","0",,,+0009370.94,11,2342,234,+0001.65,2,19,+00000000.0000,+00000468.54700
603,"Adult","High","F","M",2,+0077551.10,"Y",34,"155126020","2056384730804301",19740219,"9093 ROAD 82 # 3523",,"LOCKHART","TX","78644","0",-097.691400,+029.869900,+0020532.05,41,10266,1026,+0010.25,5,9,+00000000.0000,+00001026.60250
604,"Child","Low","F","M",0,+0038538.40,"N",12,"129655884","8993688056444504",19240912,"9801 RIDGESIDE DR APT 1",,"HUNTSVILLE","AL","35801","0",-086.585312,+034.733646,+0022862.29,16,11431,1143,+0004.00,3,7,+00001143.1145,+00000000.00000
605,"Young adult","Medium","M","M",0,+0092881.80,"N",21,"944834448","7347134202171055",19230515,"1201 US HIGHWAY 9 UNIT 5",,"EMERSON","KY","41135","0",,,+0002150.22,85,537,53,+0012.75,3,12,+00000000.0000,+00000053.75550
606,"Young adult","Medium","M","S",2,+0043634.50,"N",22,"525244847","8551323168017756",19240621,"8600 HAMMONDWOOD RD S",,"MANATI","PR","0674","0",,,+0029442.94,104,14721,1472,+0026.00,3,8,+00000000.0000,+00001472.14700
607,"Adult","High","F","S",1,+0013109.10,"N",63,"147220614","3795289659595191",19640907,"834 99TH RD",,"GREENSBURG","PA","15601","0",,,+0022382.24,40,11191,1119,+0010.00,1,7,+00000000.0000,+00001119.11200
608,"Adult","High","M","S",1,+0092647.50,"N",56,"196806338","1478460657186655",19070729,"2399 56TH AVE NW",,"NAHANT","MA","01908","0",,,+0016041.60,10,8020,802,+0002.50,2,6,+00000000.0000,+00000802.08000
609,"Adult","High","M","S",2,+0021021.60,"Y",63,"160597747","7144849110644384",19881216,"3100 AVENUE G",,"FLUSHING","NY","11358","0",,,+0002000.20,11,500,50,+0001.65,1,19,+00000000.0000,+00000100.01000
610,"Adult","Low","M","S",0,+0074460.70,"Y",55,"105576206","6746614038953929",19471224,"29 CENTER ST",,"ELECTRA","TX","76360","0",-098.908983,+034.031031,+0025532.55,179,12766,1276,+0044.75,4,6,+00001276.6275,+00000000.00000
611,"Adult","Low","F","S",2,+0028787.40,"N",42,"160152919","7808195041542607",19991219,"100 ZIGMYN DR",,"DURANGO","CO","81302","0",,,+0027972.80,58,13986,1398,+0014.50,2,6,+00001398.6400,+00000000.00000
612,"Adult","Low","M","M",1,+0013091.60,"N",59,"686718593","4531608767447603",19530804,"280 CALLE 2 PMB 16973",,"SACRAMENTO","CA","95841","0",,,+0022792.28,20,11396,1139,+0005.00,3,7,+00001139.6140,+00000000.00000
613,"Adult","Low","F","M",2,+0062061.80,"Y",46,"123938418","2957111474999526",19200302,"420 S WILLIAMS ST",,"STERRETT","AL","35147","4038",,,+0029862.99,52,14931,1493,+0013.00,1,5,+00001493.1495,+00000000.00000
614,"Young adult","Low","F","M",1,+0020550.90,"Y",22,"540981412","6407866459038978",19451122,"PO BOX 702AK",,"NORTHUMBERLAND","PA","17857","0",,,+0027722.77,57,13861,1386,+0014.25,5,5,+00001386.1385,+00000000.00000
615,"Young adult","Medium","M","M",2,+0001765.41,"N",19,"160210708","3006045172823054",19241227,"D & B AIRCRAFT ENGINES",,"MANCOS","CO","81328","0",-108.289902,+037.346038,+0003040.30,44,760,76,+0006.60,4,14,+00000000.0000,+00000076.00750
616,"Adult","Low","F","S",2,+0019131.10,"N",56,"704717044","8711864789274698",19220718,"14701 28TH AVE",,"JEWETT","OH","43986","0",,,+0022152.22,34,11076,1107,+0008.50,2,8,+00001107.6110,+00000000.00000
617,"Adult","High","M","M",2,+0042750.30,"Y",50,"184513709","1185972403347699",19760721,"2 HORSESHOE BEND RD",,"FORKED RIVER","NJ","08731","0",,,+0020592.06,112,10296,1029,+0028.00,1,8,+00000000.0000,+00001029.60300
618,"Adult","High","F","S",2,+0002842.55,"N",46,"151146723","4522654430922746",19510108,"535AI GREENWOOD AVE SE STE 1",,"MC KENZIE","AL","36456","0",,,+0000000.00,0,0,0,+0000.00,0,0,+00000000.0000,+00000000.00000
619,"Adult","High","M","M",2,+0022358.10,"N",53,"119527167","6022296767803873",19990524,"100 JOPLIN ST",,"PRESTON","MD","21655","0",,,+0015541.55,12,7770,777,+0003.00,3,5,+00000000.0000,+00000777.07750
620,"Young adult","High","M","M",0,+0047870.80,"Y",27,"149667724","3317872902275836",19340424,"266 ALTA VIEW DR SW",,"SEASIDE","CA","93955","0",,,+0002000.20,12,500,50,+0001.80,2,15,+00000000.0000,+00000100.01000
621,"Adult","Low","F","S",2,+0006440.46,"Y",43,"136870256","6561358580038929",19430130,"PO BOX 6178",,"HARRISBURG","MO","65256","0",,,+0022662.27,27,11331,1133,+0006.75,2,9,+00001133.1135,+00000000.00000
622,"Adult","Low","F","S",0,+0007325.50,"N",37,"148213573","3697414810745873",19691129,"16707 EARL PARK CT",,"URBANA","IL","61801","5054",,,+0028522.85,161,14261,1426,+0040.25,3,5,+00001426.1425,+00000000.00000
623,"Adult","High","M","M",2,+0028766.90,"N",47,"783803341","8113886851977471",19600603,"625 ADDISON LOOMIS PMB 21391",,"PAINT ROCK","AL","35161","0",,,+0006110.61,58,1527,152,+0008.70,3,18,+00000000.0000,+00000305.53050
624,"Adult","Medium","M","S",0,+0072928.20,"N",39,"768248436","3154473903439604",19840502,"451 COLLEGE ST RM 225",,"CYNTHIANA","KY","41031","0",-084.292285,+038.387397,+0007450.75,196,1862,186,+0029.40,2,11,+00000000.0000,+00000186.26875
625,"Young adult","Low","M","M",2,+0091272.20,"Y",25,"158488515","4001975451962396",19430316,"D61 VILLA REAL",,"NEW YORK","NY","10010","0",,,+0026992.70,13,13496,1349,+0003.25,4,7,+00001349.6350,+00000000.00000
626,"Adult","Low","M","S",0,+0065000.00,"Y",52,"128109850","1944873910888488",19570907,"699 W AVENUE D",,"TYLER","TX","75702","0",,,+0011631.16,115,5815,581,+0028.75,2,6,+00000581.5580,+00000000.00000
627,"Young adult","High","M","M",2,+0001406.05,"Y",19,"149231707","6162277051381881",19241102,"100 BANKS LN",,"UNION SPRINGS","AL","36089","0",,,+0011551.16,15,5775,577,+0003.75,4,9,+00000000.0000,+00000577.55800
628,"Adult","High","F","S",0,+0073228.30,"N",46,"141713626","1057408280244949",19681014,"F1 CALLE MARGARITA ESTEVA",,"STERLING","KS","67579","0",-098.200430,+038.211836,+0022472.25,28,11236,1123,+0007.00,4,5,+00000000.0000,+00001123.61250
629,"Adult","Medium","F","S",2,+0076231.90,"N",64,"460455455","6033872188633381",19800721,"869 E NELSON ST",,"NORWALK","CT","06858","5001",,,+0002010.20,150,502,50,+0022.50,1,10,+00000000.0000,+00000050.25500
630,"Adult","Low","M","M",1,+0064792.30,"N",52,"107771476","1852991657682179",19430629,"37554 N 14TH ST",,"EULESS","TX","76040","0",,,+0013051.31,36,6525,652,+0009.00,2,8,+00000652.5655,+00000000.00000
631,"Adult","Low","F","S",0,+0093322.10,"Y",40,"130768929","2744752039696132",19700419,"371 B AVE W",,"MAYAGUEZ","PR","0682","0",,,+0029922.99,8,14961,1496,+0002.00,2,6,+00001496.1495,+00000000.00000
632,"Adult","High","M","M",1,+0063437.30,"N",64,"561790058","2872234203016903",19350425,"HC 75 BOX 325",,"GREENSBORO","NC","27407","0",,,+0000680.07,10,170,17,+0001.50,3,17,+00000000.0000,+00000034.00350
633,"Adult","Low","M","M",2,+0049910.70,"Y",52,"258137853","1842711275748977",19301102,"A624 DORCHESTER AVE",,"FLUSHING","NY","11355","0",,,+0027422.74,23,13711,1371,+0005.75,5,8,+00001371.1370,+00000000.00000
634,"Adult","High","M","M",1,+0076161.40,"Y",45,"711465847","7173081579343316",19330716,"226 PHELAND ST",,"WEST CHESTER","OH","45069","0",,,+0011961.20,25,5980,598,+0006.25,2,9,+00000000.0000,+00000598.06000
635,"Child","High","F","M",2,+0055860.00,"Y",15,"185834890","2464487045449866",19910211,"673 VERA AVE",,"HOUSTON","TX","77027","3511",,,+0016011.60,10,8005,800,+0002.50,2,7,+00000000.0000,+00000800.58000
636,"Senior","High","F","S",1,+0012686.00,"N",65,"120297230","9201890071455641",19960315,"PO BOX 597",,"IRONS","MI","49644","0",,,+0023232.32,80,11616,1161,+0020.00,5,10,+00000000.0000,+00001161.61600
637,"Adult","Medium","M","M",2,+0057360.80,"Y",53,"123671069","3913406478203193",19000103,"11040 HIGHWAY 19 # 3640",,"CINCINNATI","OH","45206","0",-084.475244,+039.125874,+0010361.04,57,5180,518,+0014.25,1,6,+00000000.0000,+00000518.05200
638,"Adult","Low","M","M",0,+0092414.70,"Y",46,"118307139","7572048418905360",19861125,"4133 LARAMIE LN APT 1",,"FOXBORO","MA","02035","0",,,+0029432.94,10,14716,1471,+0002.50,5,5,+00001471.6470,+00000000.00000
639,"Adult","High","M","M",0,+0060102.70,"N",42,"102355204","8851808313279267",19341117,"200 RUTA 474",,"FAYETTEVILLE","AR","72701","0",-094.164527,+036.062768,+0009840.98,62,2460,246,+0009.30,4,15,+00000000.0000,+00000492.04900
640,"Adult","High","F","M",2,+0017888.70,"N",53,"695204524","8839285214798002",19200126,"411 108TH AVE NE STE 1980",,"OPELIKA","AL","36801","5990",,,+0029412.94,332,14706,1470,+0083.00,1,8,+00000000.0000,+00001470.64700
641,"Adult","Low","F","S",1,+0012526.30,"N",54,"913498135","2180866193176431",19761116,"PO BOX 13699",,"WORCESTER","NY","12197","0",,,+0011721.17,28,5860,586,+0007.00,4,7,+00000586.0585,+00000000.00000
642,"Adult","High","F","S",2,+0014578.80,"Y",61,"477597589","8237026408359578",19341105,"2201 STONY RIDGE DR",,"GUAYAMA","PR","0784","0",,,+0011911.19,95,5955,595,+0023.75,3,5,+00000000.0000,+00000595.55950
643,"Adult","High","M","M",0,+0078572.20,"Y",42,"138192311","4186419419313633",19041005,"PO BOX 2146",,"GREENSBURG","PA","15601","0",,,+0021812.18,29,10906,1090,+0007.25,4,7,+00000000.0000,+00001090.60900
644,"Young adult","Medium","M","M",1,+0003933.74,"N",18,"133073399","8239159734084945",19860223,"3031 HOLSTON SHORES DR",,"SACRAMENTO","CA","95820","0",,,+0009750.98,47,2437,243,+0007.05,5,10,+00000000.0000,+00000243.77450
645,"Adult","Low","F","M",2,+0048238.80,"N",35,"101857900","7536337384591230",19220927,"198 COUNTY ROAD 4222",,"TOPEKA","KS","66606","0",-095.723773,+039.056570,+0023282.33,168,11641,1164,+0042.00,1,6,+00001164.1165,+00000000.00000
646,"Child","Low","F","M",0,+0028770.90,"N",12,"836546551","7331396272712959",19291002,"903 SHEEHY DR STE F",,"LOS ANGELES","CA","90028","0",,,+0027992.80,16,13996,1399,+0004.00,1,5,+00001399.6400,+00000000.00000
647,"Adult","Medium","F","M",2,+0087578.20,"Y",53,"203545104","2210263769309418",19500910,"5247 RELLUK DR",,"PADEN","OK","74860","0",,,+0000290.03,22,72,7,+0003.30,1,15,+00000000.0000,+00000007.25075
648,"Child","Low","F","M",2,+0086695.40,"N",14,"716232444","4988441834771386",19300524,"4927 N STATE ROUTE 19",,"LAGRANGE","GA","30240","0",-085.028928,+033.021887,+0025942.59,32,12971,1297,+0008.00,5,8,+00001297.1295,+00000000.00000
649,"Adult","High","F","S",2,+0076791.20,"N",43,"200530134","8375147074962221",19801010,"312 SHANNON DR",,"SEATAC","WA","98188","0",,,+0020712.07,23,10356,1035,+0005.75,2,9,+00000000.0000,+00001035.60350
650,"Child","Low","F","S",1,+0030763.80,"Y",14,"108323907","5901708613280210",19390312,"55 CARR 188 APT 27",,"GRAND RAPIDS","MI","49506","0",,,+0021322.13,35,10661,1066,+0008.75,3,10,+00001066.1065,+00000000.00000
651,"Adult","High","F","M",2,+0003193.60,"N",54,"654260385","4205733819876819",19640915,"PO BOX 371",,"SHAMROCK","TX","79079","0",,,+0004190.42,114,1047,104,+0017.10,2,15,+00000000.0000,+00000209.52100
652,"Child","Medium","M","M",1,+0069680.90,"N",16,"156923270","4736884991306038",19541215,"2272 S 75 E",,"SAN ANTONIO","TX","78238","3801",,,+0007670.77,32,1917,191,+0004.80,5,12,+00000000.0000,+00000191.76925
653,"Adult","Low","F","M",0,+0077000.00,"N",63,"417891153","3327874585205221",19400315,"91 PLUMMER AVE",,"HURST","TX","76054","0",,,+0029642.96,90,14821,1482,+0022.50,1,7,+00001482.1480,+00000000.00000
654,"Young adult","High","M","D",0,+0002056.06,"Y",19,"849229379","1699689552403643",19140326,"4968 COUNTY ROAD 181",,"ARECIBO","PR","0612","0",,,+0024072.41,27,12036,1203,+0006.75,2,10,+00000000.0000,+00001203.62050
655,"Adult","Low","F","M",2,+0007776.60,"N",36,"189997491","4588711658846811",19280524,"PO BOX 1",,"SAINT LOUIS","MO","63104","0",-090.204365,+038.619298,+0025872.59,68,12936,1293,+0017.00,2,6,+00001293.6295,+00000000.00000
656,"Adult","Low","M","M",1,+0002067.82,"N",48,"433740005","9213229593420521",19830531,"701 1ST AVE",,"ELMSFORD","NY","10523","0",,,+0015251.53,70,7625,762,+0017.50,3,9,+00000762.5765,+00000000.00000
657,"Adult","Medium","M","S",0,+0078000.00,"N",46,"213032788","9509646495464661",19131202,"211 INTERCHANGE DR NE APT AN-101",,"SPRINGFIELD","MA","01104","0",-072.593214,+042.111331,+0004580.46,8,1145,114,+0001.20,5,11,+00000000.0000,+00000114.51150
658,"Adult","Medium","F","M",2,+0069343.30,"N",42,"168231456","5889349059726780",19950325,"PO BOX 433944",,"MAYAGUEZ","PR","0680","1921",,,+0006360.64,15,1590,159,+0002.25,5,15,+00000000.0000,+00000159.01600
659,"Adult","Medium","F","M",0,+0083287.00,"N",42,"185087627","8297946610232626",19830420,"459 W CAMPGROUND RD",,"SCRANTON","PA","18510","0",-075.658536,+041.410253,+0000570.06,23,142,14,+0003.45,5,15,+00000000.0000,+00000014.25150
660,"Senior","High","F","M",0,+0014932.50,"N",70,"443299694","6134303642099821",19360621,"11620 RABBIT RUN RD LOT 45",,"HITCHCOCK","TX","77563","0",,,+0004910.49,6,1227,122,+0000.90,4,17,+00000000.0000,+00000245.52450
661,"Senior","High","F","S",0,+0027498.10,"N",70,"612545678","5773916114016782",19800920,"243 RIDGE AVE",,"AUSTIN","TX","78744","0",,,+0002200.22,9,550,55,+0001.35,4,19,+00000000.0000,+00000110.01100
1420,"Young adult","Low","F","S",0,+0064335.00,"Y",19,"109701796","8303069562111473",19820324,"PO BOX 6113",,"MONROE","LA","71203","0",-092.070119,+032.504599,+0017001.70,137,8500,850,+0034.25,5,10,+00000850.0850,+00000000.00000
1421,"Adult","Low","F","M",2,+0062061.80,"Y",46,"692753549","1323345910073143",19170814,"PO BOX 13938",,"LEWISTOWN","IL","61542","0",,,+0029862.99,52,14931,1493,+0013.00,5,7,+00001493.1495,+00000000.00000
1422,"Young adult","High","F","M",1,+0020550.90,"Y",22,"159128164","3228163443106566",19301130,"740AU NORTH ST STE 1",,"KINNELON","NJ","07405","0",,,+0027722.77,57,13861,1386,+0014.25,5,5,+00000000.0000,+00001386.13850
